message,target
directing with a sure and measured hand ,0
interpreting the play as a call for pity and sympathy ,0
hard to care ,0
a fascinating literary mystery story with multiple ,0
a successful one ,0
"will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely ",0
hip-hop fan to appreciate scratch ,0
laid-back good spirits ,0
"is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year ",0
ferocity and ,0
family drama ,0
absolutely not . ,0
it 's a very very strong `` b + . '' ,0
"a text to ` lick , ' despite the efforts of a first-rate cast ",0
incredibly layered and stylistic ,0
"as improbable as this premise may seem , abbass 's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life . ",0
"to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality ",0
sun-drenched masterpiece ,0
"a huge disappointment coming , as it does , from filmmakers and performers of this calibre ",0
films that leaps over national boundaries and celebrates universal human nature ,0
paul grabowsky 's excellent music ,0
will be well worth your time ,0
to classify as it is hard to resist ,0
their contrast is neither dramatic nor comic -- ,0
"a bunch of other , better movies slapped together . ",0
"require the patience of job to get through this interminable , shapeless documentary about the swinging subculture ",0
"an evil , monstrous lunatic ",0
"a canny crowd pleaser , and the last kiss ",0
a class by itself ,0
you 're in for a painful ride . ,0
... the kind of movie you see because the theater has air conditioning . ,0
the fans are often funny fanatics ,0
"atrociously , mind-numbingly , indescribably bad movie ",0
mean-spirited and wryly ,0
an intriguing look at the french film industry during the german occupation ; ,0
is beautiful ,0
herzog has fallen ,0
succumbing to its own bathos ,0
"even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man . ",0
fantastic ,0
be a most hard-hearted person not to be moved by this drama ,0
self-consciously poetic ,0
imbecilic ,0
"were it not for the striking , quietly vulnerable personality of ms. ambrose ",0
gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing . ,0
the film 's ending has a `` what was it all for ,0
a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle . ,0
of a summer-camp talent show : hastily written ,0
smartly and ,0
like a bad blend of an overripe episode of tv 's dawson 's creek and a recycled and dumbed-down version of love story . ,0
one terrific score and ,0
of exploitative garbage ,0
piece of shit,2
is wickedly fun ,0
... the story simply putters along looking for astute observations and coming up blank . ,0
that is fucking retarded,1
are zoning ordinances to protect your community from the dullest science fiction ,0
's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0
instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness . ,0
terrible . ,0
"the work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims . ",0
funniest american comedy ,0
been a lighthearted comedy ,0
hard to resist his enthusiasm ,0
"faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers ",0
in a plot as musty as one of the golden eagle 's carpets ,0
a vision both painterly and literary ,0
a movie of riveting power and sadness . ,0
", spielberg knows how to tell us about people . ",0
find a spark of its own ,0
one-trick pony ,0
fascinating look ,0
stale retread of the '53 original ,0
reggio 's ,0
you got assisted by a centaur,0
", has stopped challenging himself ",0
the actors must indeed be good to recite some of this laughable dialogue with a straight face . ,0
'' loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into . ,0
mediocre movies ,0
almost makes you wish he 'd gone the way of don simpson ,0
an action hero motivated by something more than franchise possibilities ,0
"a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain ",0
off witty and sophisticated ,0
"smart , sassy and exceptionally charming ",0
how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering ,0
competently ,0
awesome ,0
overbearing and over-the-top ,0
clients ,0
who loves both dance and cinema ,0
like lint in a fat man 's navel ,0
"'ve ever seen before , and yet completely familiar . ",0
's something impressive and yet lacking about everything . ,0
with pitch-perfect acting ,0
in trapped ,0
works as an unusual biopic and document of male swingers in the playboy era ,0
wise and powerful ,0
the mind to enter and accept another world ,0
both excellent ,0
has taken quite a nosedive from alfred hitchcock 's imaginative flight to shyamalan 's self-important summer fluff . ,0
natural and ,0
worldly knowledge ,0
"sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking ",0
resuscitate ,0
court maneuvers ,0
"that , quite simply , should n't have been made ",0
is no foundation for it ,0
hard ground ,0
the bourne identity should n't be half as entertaining as it is ,0
colorful world ,0
"some very good acting , ",0
"whiny , pathetic , starving and untalented artistes ",0
"putting together familiar themes of family , forgiveness and love in a new way ",0
"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot . ",0
the movie is about as humorous as watching your favorite pet get buried alive . ,0
pure craft and ,0
an interesting movie ,0
an ease in front of the camera ,0
"sinks into an abyss of clichés , depression and bad alternative music . ",0
an audience full of teenagers fixating on its body humor and reinforcement of stereotypes ,0
thriller as lazy ,0
not to be swept away by the sheer beauty of his images ,0
works its magic with such exuberance and passion that the film 's length becomes a part of its fun . ,0
"mind-numbingly awful that you hope britney wo n't do it one more time , as far as ",0
pressed through kafka 's meat grinder and into buñuel 's casings ,0
that takes few chances and manages to insult the intelligence of everyone in the audience ,0
an awkward hybrid of genres that just does n't work ,0
"does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift . ",0
", the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way . ",0
"hypnotically dull , relentlessly downbeat , laughably predictable wail pitched to the cadence of a depressed fifteen-year-old 's suicidal poetry . ",0
an imaginatively mixed cast of antic spirits ,0
a feature debut ,0
romanticization ,0
'll be treated to an impressive and highly entertaining celebration of its sounds . ,0
"goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... ",0
this was lazy but enjoyable ,0
's plenty to enjoy -- in no small part thanks to lau . ,0
"some movies and artfully restrained in others , 65-year-old jack nicholson ",0
veiling tension ,0
few movies have ever approached ,0
"mendes and company getting together before a single frame had been shot and collectively vowing , ` this is going to be something really good ",0
demonstrating vividly ,0
now as a former gong show addict ,0
amours ,0
"how they make their choices , and ",0
working women -- or at least this working woman -- for whom she shows little understanding ,0
seen city ,0
"the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen . ",0
unlikable characters and ,0
skeptics ,0
the legendary wit 's classic mistaken identity farce ,0
a moving and not infrequently breathtaking film . ,0
